tweetid,authorid,content,lang,date,source,geo,retweetcount,likecount,quotecount
1554149729935790085,1482811695462498308,TeamCRonaldo I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 59 04 000Z,Twitter Android,,0,1,0
1554149690467393536,1482811695462498308,TimelineCR7 I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 58 55 000Z,Twitter Android,,0,0,0
1554149688374431752,963231286398734336,scleary52 ESPNFC mention fact Messi 147 less games played,en,20220801T16 58 55 000Z,Twitter iPhone,,0,0,0
1554149677200773123,1428422601576157188,UTDTrey trophy messi wins psg thats champions league mickey mouse trophy cares ,en,20220801T16 58 52 000Z,Twitter Web App,,0,1,0
1554149667079856130,1482811695462498308,BlueboyCR7 I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 58 49 000Z,Twitter Android,,0,0,0
1554149647748317185,1420104711844372481,SxreePxcked nocontextfooty Messi gt family tree,en,20220801T16 58 45 000Z,Twitter iPhone,,2,422,0
1554149634968363009,1482811695462498308,MadridPreeti I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 58 42 000Z,Twitter Android,,0,0,0
1554149611840888832,1482811695462498308,goal I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 58 36 000Z,Twitter Android,,0,0,0
1554149609072574464,1338765840,nocontextfooty Context Messi humble unlike penaldo broke fan's phone,en,20220801T16 58 36 000Z,Twitter Android,,1,204,0
1554149587388170240,1482811695462498308,TimelineCR7 I stop becoming Messi fan d day things 1 take team europa n want leave 2 smash kid phone innocent fan 3 leave d stadium d end match bks substitute u 4 tell d media ur d greatest u 5 rape accusations,en,20220801T16 58 30 000Z,Twitter Android,,0,0,0
